R_fighter,B_fighter,date,Winner,title_bout,weight_class,no_of_rounds,B_avg_BODY_landed,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SUB_ATT,B_avg_TD_landed,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,R_avg_BODY_landed,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SUB_ATT,R_avg_TD_landed,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age
Thiago Santos,Jack Hermansson,10/28/2017,Red,FALSE,Middleweight,3,6,25,0,9.75,1.25,0,0,0.75,1,0,0,0,1,2,0,0,Orthodox,185.42,195.58,4.090909091,11.36363636,0.545454545,6,0.272727273,0,0,0.181818182,4,0,0,0,1,6,0,0,Orthodox,187.96,193.04,29,33
John Lineker,Marlon Vera,10/28/2017,Red,FALSE,Bantamweight,3,7.333333333,17.83333333,0.333333333,5,1.666666667,0,1.333333333,0.5,2,0,0,0,1,1,2,0,Switch,172.72,177.8,19.76923077,31.30769231,0.769230769,4.692307692,0.307692308,0.076923077,0.461538462,0.461538462,3,0,0,1,3,5,1,0,Orthodox,160.02,170.18,24,27
Vicente Luque,Niko Price,10/28/2017,Red,FALSE,Welterweight,3,2.666666667,7,0.666666667,3.333333333,1,0,0.666666667,0.333333333,1,0,0,0,0,1,1,0,Orthodox,182.88,193.04,4.5,10.33333333,0.333333333,3.333333333,1.166666667,0,0.5,1,2,0,0,0,0,2,2,0,Orthodox,180.34,190.5,28,25
Antonio Carlos Junior,Jack Marshman,10/28/2017,Red,FALSE,Middleweight,3,6,31.33333333,1,3.666666667,0,0,0,0,1,0,0,0,1,1,0,0,Orthodox,182.88,185.42,5.428571429,15,0,3.142857143,2.714285714,0.142857143,0.571428571,3.285714286,3,1,0,0,2,0,2,0,Orthodox,187.96,200.66,27,27
Hacran Dias,Jared Gordon,10/28/2017,Blue,FALSE,Lightweight,3,5,54,0,8,5,0,0,4,0,0,0,0,0,1,0,0,Orthodox,175.26,172.72,4,20.42857143,0,6.571428571,2.285714286,0,0.428571429,2.857142857,4,0,0,1,2,0,0,0,Orthodox,172.72,175.26,29,33
Elizeu Zaleski dos Santos,Max Griffin,10/28/2017,Red,FALSE,Welterweight,3,1.5,11.5,0,1,0,0.5,0.5,0,1,0,0,0,0,1,0,0,Orthodox,180.34,193.04,12.5,41.75,0,7.25,1,0.5,0.75,0.5,1,0,0,1,1,1,0,0,Orthodox,180.34,185.42,31,30
Deiveson Figueiredo,Jarred Brooks,10/28/2017,Red,FALSE,Flyweight,3,7,15,0,5,1,0,1,5,0,0,0,1,0,0,0,0,Switch,160.02,157.48,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,24,29
Marcelo Golm,Christian Colombo,10/28/2017,Red,FALSE,Heavyweight,3,10,25,0,4.5,0,0,0,0,2,0,0,0,0,0,0,0,Orthodox,195.58,203.2,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,37,25
Donald Cerrone,Darren Till,10/21/2017,Blue,FALSE,Welterweight,5,5.25,28,0.5,5.25,0.25,0,0,0.75,1,0,0,0,2,1,0,0,Southpaw,182.88,187.96,10.64,21.56,0.56,12.64,1.04,0.08,0.4,0.72,6,1,0,0,6,8,5,0,Orthodox,185.42,185.42,24,34
Karolina Kowalkiewicz,Jodie Esquibel,10/21/2017,Red,FALSE,Women Strawweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,154.94,162.56,14.8,42.6,0,8.2,1,0,0,0,2,1,0,1,2,0,0,0,Orthodox,160.02,162.56,31,32
Jan Blachowicz,Devin Clark,10/21/2017,Red,FALSE,Light Heavyweight,3,10,28,0.333333333,5,3,0,0.333333333,2,1,0,0,0,2,0,0,0,Orthodox,182.88,190.5,11.33333333,29.66666667,0.166666667,1.666666667,0.833333333,0,0.166666667,1,4,0,0,0,1,1,0,0,Orthodox,187.96,198.12,27,34
Oskar Piechota,Jonathan Wilson,10/21/2017,Red,FALSE,Middleweight,3,6.333333333,26,0.666666667,1,0,0,0,0.333333333,2,0,0,0,0,1,0,0,Southpaw,187.96,190.5,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,182.88,193.04,30,27
Marcin Held,Nasrat Haqparast,10/21/2017,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,1,26.66666667,0,0.333333333,5,0,0.666666667,3,3,0,0,0,0,0,0,0,Orthodox,175.26,180.34,22,25
Damian Stasiak,Brian Kelleher,10/21/2017,Blue,FALSE,Bantamweight,3,2.5,1.5,0,2,0,0,0.5,0.5,1,0,0,0,0,0,1,0,Switch,167.64,167.64,3.25,12.75,0,1.5,2.5,0.5,0.75,2.25,2,0,0,0,0,0,2,0,Orthodox,165.1,177.8,31,27
Sam Alvey,Ramazan Emeev,10/21/2017,Blue,FALSE,Middleweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,177.8,193.04,6.333333333,20.5,0.333333333,3.25,0.166666667,0,0.083333333,0,4,0,0,1,2,4,1,0,Southpaw,187.96,190.5,30,31
Artem Lobov,Andre Fili,10/21/2017,Blue,FALSE,Featherweight,3,6.75,23.375,0.25,5.75,0.875,0.375,0.125,1.5,4,0,0,0,2,2,0,0,Orthodox,180.34,187.96,9,31.4,0,16.2,0.4,0,0,0.6,3,1,0,0,2,0,0,0,Southpaw,175.26,165.1,27,31
Salim Touahri,Warlley Alves,10/21/2017,Blue,FALSE,Welterweight,3,8,20.66666667,0.166666667,2.833333333,1.166666667,0,1,0.833333333,2,1,0,0,1,0,3,0,Orthodox,180.34,182.88,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,26,28
Lina Lansberg,Aspen Ladd,10/21/2017,Blue,FALSE,Women Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,18.5,22,0,6.5,0,0,0,0.5,1,0,0,0,1,0,0,0,Orthodox,170.18,165.1,22,35
Felipe Arantes,Josh Emmett,10/21/2017,Blue,FALSE,Featherweight,3,15.66666667,31.66666667,0,13.33333333,0.666666667,0,0.333333333,2.666666667,1,0,0,1,1,0,0,0,Orthodox,167.64,177.8,5.6,18,0.1,5.5,0.9,0.7,0.7,0.9,5,0,0,0,2,1,2,0,Orthodox,172.72,185.42,32,29
Tony Ferguson,Kevin Lee,10/7/2017,Red,TRUE,Lightweight,5,9.545454545,25,0,0.727272727,2.636363636,0.090909091,1,2.272727273,2,0,0,1,3,1,4,0,Orthodox,175.26,195.58,7.923076923,32.92307692,0.230769231,10.23076923,0.384615385,0.153846154,1,0.461538462,1,1,0,1,3,2,5,1,Orthodox,180.34,193.04,25,33
Demetrious Johnson,Ray Borg,10/7/2017,Red,TRUE,Flyweight,5,5.571428571,13.14285714,0,0.714285714,5.857142857,0.285714286,1.571428571,2.714285714,2,0,0,0,3,0,2,0,Orthodox,162.56,160.02,19.75,30.375,0.1875,14.125,2.875,0.1875,0.625,4.0625,2,12,0,1,7,2,4,0,Orthodox,160.02,167.64,24,31
Fabricio Werdum,Walt Harris,10/7/2017,Red,FALSE,Heavyweight,3,5.428571429,14.85714286,0.714285714,2.285714286,0,0,0.142857143,0,4,0,0,0,0,3,0,0,Southpaw,195.58,195.58,8.384615385,31.23076923,0.307692308,8.846153846,1.153846154,0,0.230769231,0.538461538,4,3,0,0,3,4,2,0,Orthodox,193.04,195.58,34,40
Mara Romero Borella,Kalindra Faria,10/7/2017,Red,FALSE,Women Flyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Switch,170.18,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,31,31
Beneil Dariush,Evan Dunham,10/7/2017,Draw,FALSE,Lightweight,3,7.588235294,57.64705882,0.117647059,3,1.058823529,0.058823529,0.882352941,1.529411765,6,0,0,3,5,1,1,1,Southpaw,177.8,177.8,9.818181818,19.63636364,0.272727273,5.909090909,1.818181818,0,0.454545455,0.818181818,3,0,0,1,3,1,3,0,Southpaw,177.8,182.88,35,28
Tom Duquesnoy,Cody Stamann,10/7/2017,Blue,FALSE,Bantamweight,3,14,74,0,6,6,0,0,8,0,0,0,0,1,0,0,0,Orthodox,167.64,162.56,14,16,2,6,0,0,0,0,0,0,0,0,0,1,0,0,Orthodox,170.18,172.72,27,24
Lando Vannata,Bobby Green,10/7/2017,Draw,FALSE,Lightweight,3,13,25.57142857,0.142857143,12,0.571428571,0.285714286,0.142857143,0.571428571,3,0,0,1,1,1,1,0,Orthodox,177.8,180.34,9.666666667,21.66666667,0.666666667,10.66666667,0,0,0,0.333333333,2,0,0,0,0,1,0,0,Orthodox,175.26,180.34,31,25
Pearl Gonzalez,Poliana Botelho,10/7/2017,Blue,FALSE,Women Strawweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,172.72,170.18,2,28,0,7,2,0,1,2,1,0,0,0,0,0,0,0,Orthodox,162.56,172.72,28,31
Matt Schnell,Marco Beltran,10/7/2017,Red,FALSE,Flyweight,3,5.5,12.75,0.25,2.75,0.75,0.25,0.25,0.5,1,0,0,1,1,0,1,0,Orthodox,172.72,175.26,2.5,8.5,0,4,1,0,0.5,0.5,2,0,0,0,0,0,0,0,Orthodox,172.72,177.8,31,27
John Moraga,Magomed Bibulatov,10/7/2017,Red,FALSE,Flyweight,3,10,36,0,5,9,0,0,2,0,0,0,0,1,0,0,0,Orthodox,165.1,165.1,8.181818182,18.45454545,0.090909091,6.545454545,1.272727273,0.090909091,0.909090909,0.636363636,5,1,0,1,1,1,3,0,Orthodox,167.64,167.64,29,33
Thales Leites,Brad Tavares,10/7/2017,Blue,FALSE,Middleweight,3,7.5,22.57142857,0.071428571,8.5,0.571428571,0.142857143,0,1.071428571,4,0,0,2,7,1,0,0,Orthodox,185.42,187.96,2.055555556,18.05555556,0.222222222,4.944444444,3.388888889,0,0.944444444,1.777777778,6,1,0,1,4,2,5,0,Orthodox,185.42,198.12,29,36
Ovince Saint Preux,Yushin Okami,9/22/2017,Red,FALSE,Light Heavyweight,5,3.944444444,21.33333333,0.222222222,1.833333333,3.388888889,0,0.444444444,1.5,5,1,0,2,6,4,0,1,Southpaw,187.96,190.5,5.692307692,19.76923077,0.153846154,2.769230769,0.846153846,0.076923077,0.230769231,0.692307692,5,1,1,0,1,4,2,0,Southpaw,190.5,203.2,36,34
Claudia Gadelha,Jessica Andrade,9/22/2017,Blue,FALSE,Women Strawweight,3,14.45454545,49.09090909,0.090909091,4.545454545,1.909090909,0,0.454545455,1.727272727,4,1,0,1,3,1,2,0,Orthodox,154.94,157.48,7.833333333,42.5,0.166666667,1.833333333,3.166666667,0,0.833333333,4.5,2,1,0,0,3,0,1,0,Orthodox,162.56,160.02,25,28
Takanori Gomi,Dong Hyun Ma,9/22/2017,Blue,FALSE,Lightweight,3,6.333333333,30.66666667,0,4,3.333333333,0.333333333,0,2,2,0,0,0,1,0,0,0,Orthodox,180.34,177.8,9,19.08333333,0.166666667,2.333333333,0.25,0.083333333,0,0.083333333,8,0,0,1,1,2,0,0,Southpaw,170.18,177.8,29,39
Gokhan Saki,Henrique da Silva,9/22/2017,Red,FALSE,Light Heavyweight,3,11.8,17.8,0,3.2,1,0.4,0.2,0.2,3,0,0,0,0,1,1,0,Orthodox,190.5,193.04,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,28,33
Teruto Ishihara,Rolando Dy,9/22/2017,Red,FALSE,Featherweight,3,5,9,0,6,1,0,0,1,1,0,0,0,0,0,0,0,Orthodox,172.72,175.26,7.4,22.2,1,7.2,0.4,0,0,0,3,0,0,0,0,2,0,0,Southpaw,170.18,175.26,27,26
Jussier Formiga,Ulka Sasaki,9/22/2017,Red,FALSE,Flyweight,3,2.833333333,8.833333333,0,3.5,1.833333333,0.5,0.666666667,1.333333333,3,0,0,0,0,0,3,0,Southpaw,177.8,180.34,3.111111111,9.111111111,0.111111111,2.111111111,2.555555556,0,0.333333333,1.333333333,4,0,0,0,4,0,1,0,Orthodox,165.1,170.18,27,32
Keita Nakamura,Alex Morono,9/22/2017,Red,FALSE,Welterweight,3,8,50,0.333333333,8.333333333,0.333333333,0,0.333333333,0,1,0,0,1,1,0,0,0,Orthodox,180.34,182.88,2.857142857,27.14285714,0.428571429,0.857142857,1.857142857,0.285714286,0.571428571,2,5,0,0,0,0,0,2,0,Southpaw,180.34,185.42,27,33
Syuri Kondo,Chanmi Jeon,9/22/2017,Red,FALSE,Women Strawweight,3,15,47,0,30,0,0,0,0,1,0,0,0,0,0,0,0,Orthodox,165.1,170.18,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,162.56,167.64,20,28
Shinsho Anzai,Luke Jumeau,9/22/2017,Red,FALSE,Welterweight,3,9,27,0,4,0,0,0,0,0,0,0,0,1,0,0,0,Orthodox,180.34,182.88,4.5,19,0,3.5,1.5,0,0,1.5,1,0,0,0,0,0,0,1,Orthodox,170.18,177.8,29,31
Daichi Abe,Hyun Gyu Lim,9/22/2017,Red,FALSE,Welterweight,3,6.833333333,31.16666667,0.666666667,2.5,0,0,0.166666667,0.166666667,3,0,0,0,0,3,0,0,Orthodox,190.5,195.58,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,32,25
Luke Rockhold,David Branch,9/16/2017,Red,FALSE,Middleweight,5,6.2,7.6,0,5.4,2,0,0,2,2,0,0,1,2,0,0,0,Orthodox,185.42,198.12,6.857142857,18.85714286,0.285714286,4,1.428571429,0,0.857142857,0.428571429,2,2,0,0,0,2,3,0,Southpaw,190.5,195.58,35,32
Mike Perry,Alex Reyes,9/16/2017,Red,FALSE,Welterweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,4.25,32.75,1.5,9,2,0,0,0,1,0,0,0,0,3,0,0,Orthodox,177.8,180.34,30,26
Hector Lombard,Anthony Smith,9/16/2017,Blue,FALSE,Middleweight,3,7.4,27.6,0.4,3.4,0.6,0.4,0.4,0.4,2,0,0,0,1,2,0,0,Orthodox,193.04,193.04,4.444444444,26.55555556,0.666666667,2.888888889,1.111111111,0,0.222222222,1.555555556,6,0,0,0,1,2,0,0,Southpaw,175.26,180.34,29,39
Gregor Gillespie,Jason Gonzalez,9/16/2017,Red,FALSE,Lightweight,3,1,4.5,0,1.5,0,0,0.5,0,1,0,0,0,0,0,1,0,Southpaw,187.96,187.96,0,21,0.5,3.5,4.5,0,0,2.5,0,0,0,0,1,1,0,0,Orthodox,170.18,180.34,27,30
Kamaru Usman,Sergio Moraes,9/16/2017,Red,FALSE,Welterweight,3,5,22.625,0.125,2.5,1.75,0,0.375,1,2,1,0,1,2,1,2,0,Orthodox,182.88,182.88,12.2,34.2,0.2,6.6,4,0,0.4,4,0,1,0,0,4,0,1,0,Switch,182.88,193.04,35,30
Justin Ledet,Zu Anyanwu,9/16/2017,Red,FALSE,Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,195.58,1,57,0,0,0.5,0,0.5,0.5,0,0,0,0,1,0,1,0,Orthodox,193.04,203.2,36,28
Anthony Rocco Martin,Olivier Aubin-Mercier,9/16/2017,Blue,FALSE,Lightweight,3,7,24.57142857,0.142857143,3.857142857,2.285714286,0.142857143,0.571428571,2.428571429,2,1,0,0,1,0,4,0,Southpaw,175.26,177.8,3.428571429,24.57142857,0,4.714285714,1.714285714,0,0.857142857,1.142857143,3,0,0,0,2,0,2,0,Orthodox,182.88,185.42,28,27
Anthony Hamilton,Daniel Spitz,9/16/2017,Blue,FALSE,Heavyweight,3,13,33,0,5,0,0,0,1,1,0,0,0,0,0,0,0,Orthodox,200.66,208.28,16.25,8.875,0.125,1.625,0.625,0,0,1.125,5,0,0,0,1,2,0,0,Orthodox,195.58,193.04,27,37
Krzysztof Jotko,Uriah Hall,9/16/2017,Blue,FALSE,Middleweight,3,5.545454545,13.81818182,0.272727273,8.272727273,0.090909091,0.363636364,0.181818182,0.636363636,6,1,0,0,1,2,0,2,Orthodox,182.88,200.66,8.875,20.375,0.125,5.375,1.75,0.375,0,1,2,0,0,1,4,1,0,0,Southpaw,185.42,195.58,33,28
Jason Saggo,Gilbert Burns,9/16/2017,Blue,FALSE,Lightweight,3,7.333333333,14.16666667,0,4.333333333,1.666666667,0,0.833333333,1.5,2,0,0,0,1,0,3,0,Orthodox,177.8,180.34,3.2,15.8,0.2,6.2,4,0.4,0,1.8,2,0,0,1,0,2,0,0,Orthodox,180.34,180.34,31,31
Amanda Nunes,Valentina Shevchenko,9/9/2017,Red,TRUE,Women Bantamweight,5,5.25,23,0,11.75,1.25,0.25,0.25,2.5,1,0,0,1,1,0,1,0,Southpaw,165.1,167.64,2.125,19.125,0.25,3,1.25,0,0.5,0.75,1,2,0,0,1,4,2,0,Orthodox,172.72,175.26,29,29
Neil Magny,Rafael Dos Anjos,9/9/2017,Blue,FALSE,Welterweight,3,8.136363636,23.54545455,0.227272727,8.954545455,1.545454545,0.045454545,0.590909091,1.818181818,7,3,0,0,9,4,2,0,Southpaw,172.72,177.8,8,36,0.0625,5,2.375,0.125,0.3125,2.1875,4,0,0,1,6,4,1,0,Orthodox,190.5,203.2,32,30
Henry Cejudo,Wilson Reis,9/9/2017,Red,FALSE,Flyweight,3,3.333333333,13.77777778,0,7.444444444,3.444444444,0.222222222,0.555555556,3.888888889,3,1,0,0,4,0,2,0,Southpaw,162.56,165.1,21.33333333,25.16666667,0.333333333,3.666666667,1.166666667,0,0.166666667,1.833333333,2,1,0,1,3,0,0,0,Orthodox,162.56,162.56,32,30
Ilir Latifi,Tyson Pedro,9/9/2017,Red,FALSE,Light Heavyweight,3,2,9,0.5,2.5,2,0,0.5,1,0,0,0,0,0,1,1,0,Orthodox,190.5,200.66,1.75,6.875,0.375,1.875,0.25,0,0.25,0.75,3,0,0,0,1,3,1,0,Orthodox,177.8,185.42,25,34
Jeremy Stephens,Gilbert Melendez,9/9/2017,Red,FALSE,Featherweight,3,8.4,36.6,0,3.4,0,0,0,0.6,4,2,0,0,1,0,0,0,Orthodox,175.26,185.42,6.48,21.28,0.44,8.12,0.32,0.28,0.4,1.08,13,0,0,1,5,5,0,1,Orthodox,172.72,180.34,35,31
Sara McMann,Ketlen Vieira,9/9/2017,Blue,FALSE,Women Bantamweight,3,5.5,33.5,0,3,2,0,0,2.5,0,0,0,1,1,0,0,0,Orthodox,172.72,172.72,4.375,11.125,0.125,1.75,1.75,0,0.375,1.75,3,1,0,1,1,1,2,0,Orthodox,167.64,167.64,26,36
Sarah Moras,Ashlee Evans-Smith,9/9/2017,Red,FALSE,Women Bantamweight,3,18.5,22.75,0,10.5,1,0,0,1,2,0,0,1,0,1,0,0,Orthodox,172.72,170.18,0.5,14,0,2,0.5,0.5,0.5,0.5,1,0,0,0,1,0,0,0,?,170.18,170.18,30,29
Gavin Tucker,Rick Glenn,9/9/2017,Blue,FALSE,Featherweight,3,15,31,0,9,0,0,0,0,1,0,0,1,0,0,0,0,Southpaw,182.88,177.8,12,25,0,18,0,0,0,1,0,0,0,0,1,0,0,0,Southpaw,167.64,167.64,28,31
Mitch Clarke,Alex White,9/9/2017,Blue,FALSE,Lightweight,3,16,21.2,0.2,4.6,0.6,0.4,0.2,0.8,3,0,0,0,1,1,0,0,Southpaw,182.88,180.34,3.833333333,11.83333333,0,7.333333333,0.333333333,0.333333333,0.333333333,0.5,4,0,0,0,1,0,1,0,Orthodox,177.8,185.42,28,31
Luis Henrique,Arjan Bhullar,9/9/2017,Blue,FALSE,Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,3,13.5,0,1,2,0,1,2.75,2,0,0,0,0,0,2,0,Orthodox,187.96,187.96,31,24
Kajan Johnson,Adriano Martins,9/9/2017,Red,FALSE,Lightweight,3,1.833333333,7.833333333,0.333333333,4.833333333,1,0,0.166666667,0.666666667,2,0,0,1,0,2,1,0,Southpaw,177.8,182.88,4.333333333,27.33333333,0.333333333,3.666666667,1.333333333,0.333333333,0.333333333,2.333333333,1,0,0,0,2,0,0,0,Orthodox,180.34,190.5,34,33
Alexander Volkov,Stefan Struve,9/2/2017,Red,FALSE,Heavyweight,5,4.944444444,12.94444444,0.166666667,5.055555556,0.888888889,0.277777778,1.111111111,0.333333333,6,0,1,0,1,5,5,0,Orthodox,210.82,213.36,19,56,0,8.5,0,0,0,0.5,0,0,0,1,1,0,0,0,Orthodox,200.66,203.2,29,28
Siyar Bahadurzada,Rob Wilkinson,9/2/2017,Red,FALSE,Middleweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,190.5,203.2,8,23.75,0.25,2.25,1,0.25,0.25,1,2,0,0,0,0,1,1,0,Orthodox,180.34,185.42,25,33
Marion Reneau,Talita Bernardo,9/2/2017,Red,FALSE,Women Bantamweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,9.333333333,32.33333333,0,7.166666667,0.833333333,0,0.5,0.333333333,3,0,0,0,1,1,1,0,Orthodox,167.64,172.72,30,40
Leon Edwards,Bryan Barberena,9/2/2017,Red,FALSE,Welterweight,3,7.5,40.66666667,0.333333333,13.83333333,0.166666667,0,0.166666667,0.333333333,2,0,0,0,1,2,1,0,Southpaw,182.88,182.88,6.571428571,19.28571429,0.285714286,1.428571429,2.428571429,0.285714286,0.285714286,1.142857143,2,0,0,0,3,1,1,0,Southpaw,182.88,187.96,28,26
Darren Till,Bojan Velickovic,9/2/2017,Red,FALSE,Welterweight,3,6.25,14.25,0.25,13.75,0.75,0.25,0.5,0.75,2,0,0,0,1,1,0,0,Southpaw,182.88,193.04,6.666666667,23.33333333,0.666666667,5,0.333333333,0,0,0.666666667,1,0,0,0,1,1,0,0,Southpaw,182.88,187.96,28,24
Mairbek Taisumov,Felipe Silva,9/2/2017,Red,FALSE,Lightweight,3,4,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Orthodox,182.88,195.58,4.833333333,15.5,0.5,5.166666667,0.333333333,0,0,1.166666667,1,0,0,0,1,4,0,0,Orthodox,175.26,185.42,33,29
Michel Prazeres,Mads Burnell,9/2/2017,Red,FALSE,Lightweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,5.5,22.5,0.125,6.5,2.75,0.125,0.25,3.875,2,0,0,2,3,0,1,0,Orthodox,167.64,170.18,23,36
Rustam Khabilov,Desmond Green,9/2/2017,Red,FALSE,Lightweight,3,2,51,0,4,0,0,0,1,0,0,0,1,0,0,0,0,Southpaw,177.8,185.42,3.222222222,19.55555556,0.111111111,3.111111111,0.888888889,0.111111111,0.111111111,3.555555556,2,0,0,0,5,1,0,1,Orthodox,172.72,185.42,27,30
Francimar Barroso,Aleksandar Rakic,9/2/2017,Blue,FALSE,Light Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,6.285714286,13.71428571,0,11.42857143,0.142857143,0,0,2.142857143,3,0,0,0,4,0,0,0,Orthodox,185.42,190.5,25,37
Mike Santiago,Zabit Magomedsharipov,9/2/2017,Blue,FALSE,Featherweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,177.8,175.26,26,28
Bojan Mihajlovic,Abdul-Kerim Edilov,9/2/2017,Blue,FALSE,Light Heavyweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,4.5,3,0,5,0,0,0,0,2,0,0,0,0,0,0,0,Orthodox,180.34,185.42,25,37
Thibault Gouti,Andrew Holbrook,9/2/2017,Red,FALSE,Lightweight,3,4.25,8.25,0,1.5,0.25,0.25,1.25,0.5,2,0,0,2,0,0,0,0,Southpaw,180.34,177.8,1,8.666666667,0,1.333333333,0.333333333,0.333333333,0,0,3,0,0,0,0,0,0,0,Orthodox,177.8,182.88,31,30
Sergio Pettis,Brandon Moreno,8/5/2017,Red,FALSE,Flyweight,5,4,18.66666667,0.333333333,6,1,0.333333333,1.333333333,2,0,0,0,1,0,0,2,0,Orthodox,170.18,177.8,6,43.75,0.125,6.125,1.75,0.25,0.625,1.375,2,0,0,0,6,0,0,0,Orthodox,167.64,175.26,23,23
Randa Markos,Alexa Grasso,8/5/2017,Blue,FALSE,Women Strawweight,3,17.5,35.5,0,19.5,0,0,0.5,0.5,1,0,0,0,1,0,0,0,Orthodox,165.1,167.64,2.166666667,34.66666667,0,4,1.333333333,0.333333333,0.333333333,1,3,0,0,1,2,0,0,0,Orthodox,162.56,160.02,23,31
Alan Jouban,Niko Price,8/5/2017,Blue,FALSE,Welterweight,3,3.5,7.5,0.5,3.5,1,0,1,0.5,1,0,0,0,0,0,1,0,Orthodox,182.88,193.04,9.444444444,24.11111111,0.777777778,9.555555556,0.222222222,0,0,0.333333333,3,0,0,0,3,3,0,0,Southpaw,182.88,185.42,27,35
Martin Bravo,Humberto Bandenay,8/5/2017,Blue,FALSE,Featherweight,3,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,Southpaw,180.34,?,14,40,1,2,0,0,0,0,0,1,0,0,0,1,0,0,Southpaw,172.72,180.34,22,23
Sam Alvey,Rashad Evans,8/5/2017,Red,FALSE,Middleweight,3,3.904761905,22.61904762,0.19047619,1.857142857,1.714285714,0.047619048,0,2.428571429,7,4,1,4,3,6,0,0,Orthodox,182.88,190.5,5.454545455,20.18181818,0.363636364,3.545454545,0.181818182,0,0.090909091,0,4,0,0,0,2,4,1,0,Southpaw,187.96,190.5,37,31
Alejandro Perez,Andre Soukhamthath,8/5/2017,Red,FALSE,Bantamweight,3,14,25,0,7,2,0,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,177.8,2.4,25.8,0,9,0.4,0,0.2,0.4,2,1,0,0,1,2,0,0,Orthodox,167.64,170.18,28,27
Bradley Scott,Jack Hermansson,8/5/2017,Blue,FALSE,Middleweight,3,8,21.66666667,0,12,1,0,0,0.666666667,1,0,0,0,1,1,0,0,Orthodox,185.42,195.58,9.666666667,28,0.166666667,7.166666667,0.5,0.166666667,0.5,0.333333333,3,1,0,1,0,0,2,0,?,185.42,193.04,29,28
Dustin Ortiz,Hector Sandoval,8/5/2017,Red,FALSE,Flyweight,3,7.333333333,13,0,3,0.333333333,0.333333333,0.666666667,1.666666667,1,0,0,0,1,1,0,0,Orthodox,157.48,162.56,12,24.7,0,4.5,2.8,0.8,0.1,2.5,5,0,0,3,0,2,0,0,Orthodox,165.1,165.1,31,28
Henry Briones,Rani Yahya,8/5/2017,Blue,FALSE,Bantamweight,3,3.583333333,13.25,0,3.916666667,3.083333333,0.333333333,1.25,2.583333333,4,0,0,1,4,0,3,0,Orthodox,167.64,170.18,17.66666667,24.66666667,0.333333333,2.333333333,0.333333333,0,0.333333333,0,2,0,0,0,0,0,1,0,?,172.72,175.26,32,36
